,english,polish
0,"Artificial intelligence (AI) is intelligence—perceiving, synthesizing, and inferring information—demonstrated by machines, as opposed to intelligence displayed by humans or by other animals.","Sztuczna inteligencja (AI) to inteligencja - postrzeganie, synteza i wnioskowanie informacji - demonstrowana przez maszyny, w przeciwieństwie do inteligencji wykazywanej przez ludzi lub inne zwierzęta."
1,"Example tasks in which this is done include speech recognition, computer vision, translation between (natural) languages, as well as other mappings of inputs.","Przykładowe zadania, w których jest to wykonywane, obejmują rozpoznawanie mowy, widzenie komputerowe, tłumaczenie między (naturalnymi) językami, a także inne odwzorowania danych wejściowych."
2,"AI applications include advanced web search engines (e.g., Google Search), recommendation systems (used by YouTube, Amazon, and Netflix), understanding human speech (such as Siri and Alexa), self-driving cars (e.g., Waymo), generative or creative tools (ChatGPT and AI art), automated decision-making, and competing at the highest level in strategic game systems (such as chess and Go).","Zastosowania sztucznej inteligencji obejmują zaawansowane wyszukiwarki internetowe (np. Google Search), systemy rekomendacji (używane przez YouTube, Amazon i Netflix), rozumienie ludzkiej mowy (takie jak Siri i Alexa), autonomiczne samochody (np. Waymo), narzędzia generatywne lub kreatywne (ChatGPT i sztuka AI), zautomatyzowane podejmowanie decyzji i konkurowanie na najwyższym poziomie w systemach gier strategicznych (takich jak szachy i Go)."
3,"As machines become increasingly capable, tasks considered to require ""intelligence"" are often removed from the definition of AI, a phenomenon known as the AI effect.","W miarę jak maszyny stają się coraz bardziej wydajne, zadania uważane za wymagające ""inteligencji"" są często usuwane z definicji sztucznej inteligencji, co jest zjawiskiem znanym jako efekt sztucznej inteligencji."
4,"For instance, optical character recognition is frequently excluded from things considered to be AI, having become a routine technology.","Na przykład optyczne rozpoznawanie znaków jest często wykluczane z rzeczy uważanych za sztuczną inteligencję, ponieważ stało się rutynową technologią."
5,"Artificial intelligence was founded as an academic discipline in 1956, and in the years since it has experienced several waves of optimism, followed by disappointment and the loss of funding (known as an ""AI winter""), followed by new approaches, success, and renewed funding.","Sztuczna inteligencja została założona jako dyscyplina akademicka w 1956 roku i od tego czasu doświadczyła kilku fal optymizmu, po których nastąpiło rozczarowanie i utrata finansowania (znana jako ""zima AI""), a następnie nowe podejścia, sukces i wznowienie finansowania."
6,"AI research has tried and discarded many different approaches, including simulating the brain, modeling human problem solving, formal logic, large databases of knowledge, and imitating animal behavior.","Badania nad sztuczną inteligencją wypróbowały i odrzuciły wiele różnych podejść, w tym symulowanie mózgu, modelowanie rozwiązywania problemów przez ludzi, logikę formalną, duże bazy wiedzy i naśladowanie zachowań zwierząt."
7,"In the first decades of the 21st century, highly mathematical and statistical machine learning has dominated the field, and this technique has proved highly successful, helping to solve many challenging problems throughout industry and academia.","W pierwszych dekadach XXI wieku wysoce matematyczne i statystyczne uczenie maszynowe zdominowało tę dziedzinę, a technika ta okazała się bardzo skuteczna, pomagając rozwiązać wiele trudnych problemów w przemyśle i środowisku akademickim."
8,The various sub-fields of AI research are centered around particular goals and the use of particular tools.,Różne poddziedziny badań nad sztuczną inteligencją koncentrują się wokół konkretnych celów i wykorzystania określonych narzędzi.
9,"The traditional goals of AI research include reasoning, knowledge representation, planning, learning, natural language processing, perception, and the ability to move and manipulate objects.","Tradycyjne cele badań nad sztuczną inteligencją obejmują rozumowanie, reprezentację wiedzy, planowanie, uczenie się, przetwarzanie języka naturalnego, percepcję oraz zdolność do poruszania się i manipulowania obiektami."
10,General intelligence (the ability to solve an arbitrary problem) is among the field's long-term goals.,Ogólna inteligencja (zdolność do rozwiązywania dowolnych problemów) jest jednym z długoterminowych celów tej dziedziny.
11,"To solve these problems, AI researchers have adapted and integrated a wide range of problem-solving techniques, including search and mathematical optimization, formal logic, artificial neural networks, and methods based on statistics, probability, and economics.","Aby rozwiązać te problemy, naukowcy zajmujący się sztuczną inteligencją zaadaptowali i zintegrowali szeroki zakres technik rozwiązywania problemów, w tym wyszukiwanie i optymalizację matematyczną, logikę formalną, sztuczne sieci neuronowe oraz metody oparte na statystyce, prawdopodobieństwie i ekonomii."
12,"AI also draws upon computer science, psychology, linguistics, philosophy, and many other fields.","Sztuczna inteligencja czerpie również z informatyki, psychologii, lingwistyki, filozofii i wielu innych dziedzin."
13,"The field was founded on the assumption that human intelligence ""can be so precisely described that a machine can be made to simulate it"".","Dziedzina ta powstała w oparciu o założenie, że ludzka inteligencja ""może być tak precyzyjnie opisana, że maszyna może ją symulować""."
14,"This raised philosophical arguments about the mind and the ethical consequences of creating artificial beings endowed with human-like intelligence; these issues have previously been explored by myth, fiction (science fiction), and philosophy since antiquity.","Podniosło to filozoficzne argumenty na temat umysłu i etycznych konsekwencji tworzenia sztucznych istot obdarzonych inteligencją podobną do ludzkiej; kwestie te były wcześniej badane przez mit, fikcję (science fiction) i filozofię od czasów starożytnych."
15,Computer scientists and philosophers have since suggested that AI may become an existential risk to humanity if its rational capacities are not steered towards goals beneficial to humankind.,"Informatycy i filozofowie zasugerowali, że sztuczna inteligencja może stać się egzystencjalnym zagrożeniem dla ludzkości, jeśli jej racjonalne zdolności nie zostaną ukierunkowane na cele korzystne dla ludzkości."
16,The term artificial intelligence has also been criticized for overhyping AI's true technological capabilities.,Termin sztuczna inteligencja był również krytykowany za wyolbrzymianie prawdziwych możliwości technologicznych AI.
17,"Artificial beings with intelligence appeared as storytelling devices in antiquity, and have been common in fiction, as in Mary Shelley's Frankenstein or Karel Čapek's R. U. R. These characters and their fates raised many of the same issues now discussed in the ethics of artificial intelligence.","Sztuczne istoty obdarzone inteligencją pojawiały się jako narzędzia do opowiadania historii w starożytności i były powszechne w fikcji, jak we Frankensteinie Mary Shelley czy R. U. R. Karela Čapka. Te postacie i ich losy poruszyły wiele z tych samych kwestii, które są obecnie omawiane w etyce sztucznej inteligencji."
18,"The study of mechanical or ""formal"" reasoning began with philosophers and mathematicians in antiquity.","Badanie mechanicznego lub ""formalnego"" rozumowania rozpoczęło się od filozofów i matematyków w starożytności."
19,"The study of mathematical logic led directly to Alan Turing's theory of computation, which suggested that a machine, by shuffling symbols as simple as ""0"" and ""1"", could simulate any conceivable act of mathematical deduction.","Badanie logiki matematycznej doprowadziło bezpośrednio do teorii obliczeń Alana Turinga, która sugerowała, że maszyna, tasując symbole tak proste jak ""0"" i ""1"", może symulować każdy możliwy akt dedukcji matematycznej."
20,This insight that digital computers can simulate any process of formal reasoning is known as the Church–Turing thesis.,"To spostrzeżenie, że komputery cyfrowe mogą symulować dowolny proces formalnego rozumowania, znane jest jako teza Churcha-Turinga."
21,"This, along with concurrent discoveries in neurobiology, information theory and cybernetics, led researchers to consider the possibility of building an electronic brain.","To, wraz z jednoczesnymi odkryciami w dziedzinie neurobiologii, teorii informacji i cybernetyki, skłoniło naukowców do rozważenia możliwości zbudowania elektronicznego mózgu."
22,"The first work that is now generally recognized as AI was McCullouch and Pitts' 1943 formal design for Turing-complete ""artificial neurons"".","Pierwszą pracą, która jest obecnie powszechnie uznawana za sztuczną inteligencję, był formalny projekt ""sztucznych neuronów"" McCulloucha i Pittsa z 1943 roku."
23,"By the 1950s, two visions for how to achieve machine intelligence emerged.",W latach 50. pojawiły się dwie wizje osiągnięcia inteligencji maszyn.
24,"One vision, known as Symbolic AI or GOFAI, was to use computers to create a symbolic representation of the world and systems that could reason about the world.","Jedna z wizji, znana jako symboliczna sztuczna inteligencja lub GOFAI, polegała na wykorzystaniu komputerów do stworzenia symbolicznej reprezentacji świata i systemów, które mogłyby rozumować o świecie."
25,"Proponents included Allen Newell, Herbert A. Simon, and Marvin Minsky.","Wśród zwolenników znaleźli się Allen Newell, Herbert A. Simon i Marvin Minsky."
26,"Closely associated with this approach was the ""heuristic search"" approach, which likened intelligence to a problem of exploring a space of possibilities for answers.","Ściśle związane z tym podejściem było podejście ""wyszukiwania heurystycznego"", które porównywało inteligencję do problemu eksploracji przestrzeni możliwości odpowiedzi."
27,"The second vision, known as the connectionist approach, sought to achieve intelligence through learning.","Druga wizja, znana jako podejście koneksjonistyczne, dążyła do osiągnięcia inteligencji poprzez uczenie się."
28,"Proponents of this approach, most prominently Frank Rosenblatt, sought to connect Perceptron in ways inspired by connections of neurons.","Zwolennicy tego podejścia, przede wszystkim Frank Rosenblatt, starali się połączyć Perceptron w sposób inspirowany połączeniami neuronów."
29,James Manyika and others have compared the two approaches to the mind (Symbolic AI) and the brain (connectionist).,James Manyika i inni porównali dwa podejścia do umysłu (symboliczna sztuczna inteligencja) i mózgu (koneksjonizm).
30,"Manyika argues that symbolic approaches dominated the push for artificial intelligence in this period, due in part to its connection to intellectual traditions of Descartes, Boole, Gottlob Frege, Bertrand Russell, and others.","Manyika argumentuje, że podejście symboliczne zdominowało nacisk na sztuczną inteligencję w tym okresie, częściowo ze względu na jego związek z tradycjami intelektualnymi Kartezjusza, Boole'a, Gottloba Fregego, Bertranda Russella i innych."
31,Connectionist approaches based on cybernetics or artificial neural networks were pushed to the background but have gained new prominence in recent decades.,"Podejścia koneksjonistyczne oparte na cybernetyce lub sztucznych sieciach neuronowych zostały zepchnięte na dalszy plan, ale w ostatnich dziesięcioleciach zyskały nowe znaczenie."
32,The field of AI research was born at a workshop at Dartmouth College in 1956.,Dziedzina badań nad sztuczną inteligencją narodziła się podczas warsztatów w Dartmouth College w 1956 roku.
33,The attendees became the founders and leaders of AI research.,Uczestnicy stali się założycielami i liderami badań nad sztuczną inteligencją.
34,"They and their students produced programs that the press described as ""astonishing"": computers were learning checkers strategies, solving word problems in algebra, proving logical theorems and speaking English.","Oni i ich studenci stworzyli programy, które prasa opisała jako ""zdumiewające"": komputery uczyły się strategii gry w warcaby, rozwiązywały problemy słowne z algebry, udowadniały twierdzenia logiczne i mówiły po angielsku."
35,"By the middle of the 1960s, research in the U. S. was heavily funded by the Department of Defense and laboratories had been established around the world.","W połowie lat 60. badania w Stanach Zjednoczonych były intensywnie finansowane przez Departament Obrony, a laboratoria powstawały na całym świecie."
36,Researchers in the 1960s and the 1970s were convinced that symbolic approaches would eventually succeed in creating a machine with artificial general intelligence and considered this the goal of their field.,"Naukowcy w latach 60. i 70. byli przekonani, że podejście symboliczne ostatecznie doprowadzi do stworzenia maszyny ze sztuczną inteligencją ogólną i uważali to za cel swojej dziedziny."
37,"Herbert Simon predicted, ""machines will be capable, within twenty years, of doing any work a man can do"".","Herbert Simon przewidział, że ""w ciągu dwudziestu lat maszyny będą w stanie wykonać każdą pracę, jaką może wykonać człowiek""."
38,"Marvin Minsky agreed, writing, ""within a generation ... the problem of creating 'artificial intelligence' will substantially be solved"".","Marvin Minsky zgodził się z tym, pisząc, że ""w ciągu jednego pokolenia (...) problem stworzenia 'sztucznej inteligencji' zostanie zasadniczo rozwiązany""."
39,They had failed to recognize the difficulty of some of the remaining tasks.,Nie zdawali sobie sprawy z trudności niektórych z pozostałych zadań.
40,"Progress slowed and in 1974, in response to the criticism of Sir James Lighthill and ongoing pressure from the US Congress to fund more productive projects, both the U. S. and British governments cut off exploratory research in AI.","Postęp zwolnił, a w 1974 roku, w odpowiedzi na krytykę Sir Jamesa Lighthilla i ciągłe naciski ze strony Kongresu USA na finansowanie bardziej produktywnych projektów, zarówno rząd amerykański, jak i brytyjski odcięły badania eksploracyjne nad sztuczną inteligencją."
41,"The next few years would later be called an ""AI winter"", a period when obtaining funding for AI projects was difficult.","Następne kilka lat zostało później nazwane ""zimą AI"", okresem, w którym uzyskanie finansowania dla projektów AI było trudne."
42,"In the early 1980s, AI research was revived by the commercial success of expert systems, a form of AI program that simulated the knowledge and analytical skills of human experts.","Na początku lat 80. badania nad sztuczną inteligencją ożywiły się dzięki komercyjnemu sukcesowi systemów eksperckich, formy programu sztucznej inteligencji, który symulował wiedzę i umiejętności analityczne ludzkich ekspertów."
43,"By 1985, the market for AI had reached over a billion dollars.",Do 1985 roku rynek sztucznej inteligencji osiągnął wartość ponad miliarda dolarów.
